scientificName,decimalLatitude,decimalLongitude,year,basisOfRecord,species_standard
Impatiens glandulifera Royle,58.67271,13.21449,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,55.73154,13.02411,2008,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.62623,13.74474,2013,PRESERVED_SPECIMEN,Impatiens glandulifera
Impatiens glandulifera Royle,57.8627,11.99559,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.60855,13.76657,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.60535,13.78906,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.24912,14.52656,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.52439,15.78072,1971,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.56451,13.08896,1983,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.03992,13.02254,1990,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.97314,13.18155,1989,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.90617,13.20477,1987,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.88781,13.20665,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.40291,15.58994,1988,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.15026,12.84735,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.40173,15.59672,1988,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.08363,12.80398,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.06444,12.68773,1990,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.37001,13.16991,1989,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,60.43221,15.503,2012,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,60.70537,14.98842,2012,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.84082,13.14451,1987,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.15185,12.66996,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.97876,12.65857,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.99041,12.50012,1982,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.29005,12.87182,2012,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.42489,12.87673,2012,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.93902,12.67754,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.45482,12.68297,2012,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.37471,12.82668,2012,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.3875,12.82208,2012,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.4253,12.72634,2012,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.45144,12.67478,2012,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.90155,12.53064,1980,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.86609,12.59373,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.50224,15.77819,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.79074,12.62201,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.59768,14.98779,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.3297,15.3355,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.12311,12.70943,1990,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.3679,12.82557,2012,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.37204,12.82038,2012,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.44366,11.99705,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.98645,12.42831,NA,HUMAN_OBSERVATION,Impatiens glandulifera
