scientificName,decimalLatitude,decimalLongitude,year,basisOfRecord
Heracleum mantegazzianum Sommier & Levier,56.29175,15.49195,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.99242,14.42634,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.99648,14.42889,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.25678,14.96153,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.16861,14.8912,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,60.80581,15.0705,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.5487,18.23055,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.71982,13.12227,1989,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.51313,16.38776,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,63.28724,18.59752,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.88502,17.62165,2005,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.89036,17.66009,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.41199,12.011,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.6772,16.254,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.25265,14.75735,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.8566,12.65238,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.92863,16.37971,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.34651,16.54281,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.34751,16.53932,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.76597,12.63878,1985,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.28906,14.73897,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.61978,12.90774,1985,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.28699,15.05174,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.78353,12.07736,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.9497,15.78633,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.54294,13.63492,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.54861,15.52282,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.66052,16.5042,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.57922,16.21586,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.3471,18.27877,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,55.61658,13.43492,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.97649,15.60916,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.43047,13.31683,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.26925,15.28485,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.24957,15.63271,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.21607,15.28872,2002,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.93725,16.38107,1985,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.3124,18.17412,2006,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.80011,12.97489,1984,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.71303,12.84133,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.68871,16.25626,2011,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.69583,13.2195,1986,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.36612,12.79801,2011,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.7297,12.77015,1980,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.28383,12.84003,2011,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.27751,12.85383,2011,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.28889,12.82535,2011,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.26556,12.84522,2011,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,60.03369,18.83794,2011,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.30141,15.297790000000001,1997,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.69902,11.79822,2011,HUMAN_OBSERVATION
